Order_ID,Product,Region,Salesperson,Quantity,Unit_Price,Order_Date,Discount,Revenue
5887,Monitor,North,,-20,500,,200,3000
5859,Laptop,South,Sneha,5,2000,,-5,1000
7331,Monitor,East,Amit,-20,1500,2024-00-10,10,3000
9571,,South,,3,2000,,,
9684,,West,,2,500,2024-01-01,15,2000
8208,Monitr,,,3,99999,2024-00-10,200,2000
6276,Headphones,North,Amit,4,2000,2024-01-15,5,2000
3062,Laptp,West,,2,2000,,10,
1064,Laptop,West,Priya,4,1000,2024-01-15,200,2000
9006,,,,4,,,-5,-100
3568,Headphones,West,,,,,10,-100
6463,Mouse,West,Priya,5,1000,2024-01-15,0,2000
3027,Laptp,South,Rohit,-1,1000,2024-13-01,200,5000
3695,Mobile,,,-1,-200,2024-01-15,5,5000
6258,Mouse,,,3,2000,2024-01-01,15,1000
6618,Keyboard,South,,500,-200,2024-00-10,5,-100
7736,Tablet,,Rohit,-1,2000,2024-02-10,-5,1000
1391,Laptop,East,Sneha,-1,1500,2024-01-15,15,3000
6892,,,Amit,2,,2024-00-10,200,3000
4561,Keyboard,,Sneha,-20,2000,2024-13-01,0,-100
7184,Monitr,,,3,1500,2024-00-10,-5,-100
4099,Laptop,,,3,99999,2024-01-15,-5,3000
7278,,West,Priya,,-200,2024-01-15,,1000
9392,,,John,4,,,5,2000
4104,Tablet,East,,4,1500,,10,3000
8215,Laptop,,,1,1500,2024-01-15,15,2000
3454,Headphones,South,Priya,,1000,2024-01-01,5,2000
9996,Monitor,West,John,100,500,2024-00-10,15,1000
3731,Charger,South,,100,500,,5,5000
9154,Headphones,West,,100,500,,10,-100
6056,Tablet,South,,5,1500,2024-02-10,15,5000
9110,,North,Amit,-20,2000,2024-01-01,15,
4840,,,Amit,,-200,2024-02-10,,5000
2028,Laptop,,,5,500,2024-01-15,0,3000
8385,Headphones,West,,4,2000,2024-02-10,5,1000
1502,Monitor,North,Amit,4,99999,2024-02-10,10,2000
7910,Keyboard,East,Rohit,4,99999,2024-01-01,200,1000
7938,Headphones,North,Rohit,4,,2024-01-01,,-100
5488,Monitr,,,,-200,2024-00-10,,
1206,Keyboard,West,John,,-200,2024-02-10,0,
6134,Tablet,North,Sneha,5,500,2024-01-01,200,
6977,Keyboard,East,,500,1500,2024-00-10,10,2000
8721,Laptop,West,Sneha,100,1000,2024-02-10,200,
8035,Laptp,,John,-20,99999,,-5,-100
2484,Laptp,,Rohit,,1500,2024-02-10,5,
8858,Mobile,North,Priya,500,-200,,15,
1863,Monitr,,,5,99999,2024-01-15,0,-100
3790,Laptop,,,-20,2000,,15,-100
8408,Tablet,South,,4,99999,2024-01-01,,2000
9755,Mouse,East,John,,,2024-13-01,15,
6116,Laptp,,Sneha,4,-200,,5,3000
7019,Tablet,,John,100,1500,,-5,1000
2757,Keyboard,North,John,-1,-200,2024-01-01,5,
8574,Headphones,,Amit,5,1000,,-5,
7374,Laptp,,,-20,99999,2024-01-15,15,1000
7892,Laptop,,Rohit,,1000,,15,
2678,Laptp,East,,-1,,,0,-100
4242,Monitor,,Amit,2,500,2024-00-10,-5,
5636,Monitor,,Rohit,500,1500,,5,3000
2059,Monitor,,,-1,-200,2024-01-01,15,-100
7668,Monitr,,John,100,1500,,10,5000
4157,,,Rohit,5,1000,2024-02-10,0,2000
6915,Laptp,,Sneha,3,2000,2024-13-01,0,2000
3693,Mobile,,,2,1500,2024-00-10,200,1000
4627,,South,,2,99999,,0,3000
6450,Tablet,South,,3,1000,2024-01-01,0,2000
2663,,,,1,2000,2024-00-10,-5,1000
6592,Monitor,,Amit,1,500,,-5,1000
8392,Keyboard,West,,-1,99999,2024-02-10,15,1000
2306,Laptop,North,John,-20,500,,,2000
7776,Monitr,East,Sneha,100,1000,2024-13-01,200,5000
6864,Charger,West,Rohit,,99999,,10,1000
8526,Monitor,South,,-1,1000,,,
9901,Tablet,South,Rohit,1,500,2024-02-10,,5000
6575,Keyboard,South,Sneha,1,1000,2024-13-01,15,5000
6530,Laptop,West,,500,99999,2024-00-10,0,
5413,Headphones,South,Rohit,5,,,0,2000
4748,Mouse,West,Amit,-1,1500,,15,2000
1663,Keyboard,South,Priya,,,2024-01-01,15,3000
2998,Mobile,,Rohit,4,2000,2024-13-01,-5,2000
8994,Keyboard,,John,1,1000,2024-02-10,5,3000
2495,Keyboard,North,Rohit,4,1000,2024-13-01,0,1000
4304,,South,,-20,99999,,10,2000
4763,Mobile,,John,-20,2000,2024-00-10,5,2000
6232,Headphones,North,Rohit,100,99999,,,
2853,Monitr,West,Rohit,1,1500,2024-00-10,200,1000
7585,Laptp,North,,2,500,2024-00-10,-5,-100
2291,Laptop,South,John,100,,,-5,-100
4581,Keyboard,West,Amit,2,1500,2024-01-01,0,3000
8554,Keyboard,,,-20,500,2024-00-10,15,1000
8280,,West,,500,500,2024-01-01,15,-100
2636,Mobile,,Priya,3,1000,,200,5000
4696,Tablet,West,Priya,3,2000,,15,
1698,Keyboard,West,,,-200,2024-01-15,0,5000
5737,Keyboard,North,Amit,3,1000,2024-13-01,-5,-100
1854,Mobile,,Rohit,500,99999,,10,3000
9164,Tablet,,Priya,100,-200,,15,2000
6855,Mobile,West,Amit,4,2000,2024-02-10,-5,2000
8392,,East,Amit,,1000,,0,2000
7528,Monitr,,Priya,100,,2024-01-01,,3000
6249,Keyboard,,,4,1000,,5,5000
6172,Monitor,,John,5,,2024-01-01,0,3000
2707,Laptop,,Sneha,-1,-200,,0,3000
6791,Tablet,,,100,1500,2024-02-10,-5,5000
6535,Monitor,West,John,-1,1500,2024-13-01,15,-100
5931,Mobile,North,,100,-200,2024-00-10,200,2000
4510,,,Rohit,4,-200,2024-13-01,5,
1202,Keyboard,,John,1,1000,2024-01-01,5,3000
5218,,,,,1500,,15,3000
9958,,East,Sneha,5,500,2024-00-10,10,5000
5389,,West,,4,,2024-01-15,0,-100
3327,Mobile,,,2,-200,2024-02-10,15,
9004,,,Sneha,1,99999,2024-13-01,200,3000
3931,,,Amit,500,2000,2024-00-10,-5,1000
8777,Laptp,,,2,,2024-02-10,10,
1197,Laptp,,Rohit,500,1000,2024-13-01,15,3000
8125,Monitr,,Amit,,1500,2024-01-01,,
2930,Keyboard,North,John,,1500,2024-01-01,10,-100
7287,Keyboard,South,John,2,500,,200,1000
9800,Monitor,East,Priya,,1500,2024-01-01,-5,1000
5282,,,Amit,3,1000,2024-01-15,10,
3511,Charger,North,,-1,1000,,5,2000
1659,Keyboard,East,Amit,-20,2000,2024-01-01,0,
3811,Monitr,,Amit,4,,2024-01-01,15,5000
8098,Tablet,East,Amit,500,99999,,200,2000
7546,,West,Sneha,5,,2024-01-01,200,-100
2986,Tablet,West,Priya,-20,,2024-00-10,-5,1000
9338,Mobile,South,,3,99999,,-5,2000
3911,Monitor,South,Rohit,1,2000,2024-02-10,15,1000
2734,,East,Rohit,1,2000,2024-01-15,0,1000
2843,,North,,4,2000,2024-13-01,-5,1000
9680,,North,Rohit,-20,500,,-5,5000
3976,Headphones,,,-20,2000,,0,5000
2959,,North,Sneha,4,1500,,-5,3000
6759,Mouse,South,Priya,500,-200,,-5,-100
7694,Mobile,North,,100,500,,-5,5000
3385,Keyboard,,Priya,4,99999,2024-01-15,5,-100
5736,Mobile,West,,,1500,2024-02-10,0,1000
2802,,North,Sneha,-1,99999,,,-100
9155,Headphones,North,,-20,,2024-01-01,5,
9120,Mouse,South,Amit,100,1000,,10,-100
7616,,East,John,4,,2024-01-01,0,2000
6534,Headphones,West,Amit,1,2000,2024-13-01,10,
5061,Headphones,East,Rohit,5,1000,,5,1000
1262,Laptp,,Amit,1,,,-5,
7287,,,Sneha,4,500,2024-01-15,,2000
9815,Tablet,East,Rohit,-1,2000,2024-01-15,200,3000
3049,,South,John,-1,,,,3000
6423,,,,1,1000,,0,-100
5548,Charger,South,,500,1500,2024-13-01,,-100
4108,,,,2,,2024-01-15,-5,5000
8158,Keyboard,,,5,500,2024-01-15,200,
8400,Monitr,South,,,1000,2024-01-15,15,5000
4170,Monitor,,Rohit,1,,,-5,5000
3255,Mobile,,,2,1500,2024-13-01,5,
2154,Keyboard,,,-1,2000,,-5,
5499,,West,Amit,,2000,2024-13-01,,2000
7295,Laptp,,,,99999,2024-02-10,5,
7197,Tablet,,,,2000,2024-01-15,5,
2648,Mobile,,Priya,-1,-200,2024-02-10,-5,-100
6539,Monitor,,Priya,-20,1000,2024-00-10,-5,5000
5199,Charger,,,500,99999,2024-00-10,15,3000
9445,,,Priya,500,99999,2024-01-15,-5,1000
3557,Keyboard,West,Rohit,2,99999,2024-01-01,-5,3000
6592,Monitr,,Priya,2,-200,,200,
1098,Tablet,East,Sneha,5,99999,2024-00-10,0,1000
3200,Laptop,North,,-20,1500,2024-01-01,5,
3961,Keyboard,West,John,-1,1500,2024-02-10,15,-100
5973,,North,Priya,3,,2024-01-15,,2000
5433,Headphones,East,Sneha,3,2000,,200,
3869,Headphones,South,Sneha,4,1000,2024-02-10,10,1000
1956,Monitr,South,Rohit,3,-200,,0,-100
9352,Mouse,,,3,-200,2024-02-10,200,2000
6699,Monitr,South,Rohit,100,2000,2024-13-01,-5,-100
7944,Tablet,West,John,-1,-200,2024-01-15,10,1000
5493,Headphones,South,John,-1,2000,2024-13-01,15,2000
5911,Charger,West,,-20,,2024-02-10,5,5000
4987,Charger,West,Amit,2,,2024-01-01,15,1000
7015,Headphones,North,John,500,,2024-01-15,0,5000
2218,Tablet,South,,,500,2024-01-15,0,-100
5496,Laptp,,,3,500,2024-00-10,,5000
5735,Monitor,,,500,-200,2024-01-01,15,
5555,Monitor,South,,500,1000,,0,3000
9050,Tablet,South,,,1000,2024-01-01,15,2000
4446,Laptop,South,,-20,,2024-02-10,,1000
2045,Monitor,,Rohit,,1500,2024-02-10,,-100
7893,Mobile,,Sneha,100,1000,2024-02-10,15,5000
2693,Monitor,,Amit,100,-200,2024-00-10,-5,-100
4436,Mobile,West,,,99999,2024-01-01,0,
9754,Headphones,,,-1,500,2024-13-01,200,1000
6895,Laptp,West,,4,99999,2024-01-01,5,-100
4354,Monitr,,John,1,99999,2024-13-01,-5,
1225,Laptp,North,Sneha,4,-200,2024-01-15,5,1000
5893,Monitor,West,Rohit,100,-200,2024-13-01,-5,
8022,Monitor,South,,100,500,,,
6600,,East,Priya,2,2000,2024-01-15,0,3000
8996,Tablet,East,Amit,-1,99999,,,5000
8683,Monitr,,,1,,,200,2000
5642,Monitor,South,Sneha,2,99999,,,2000
8679,Mouse,West,Rohit,100,-200,2024-02-10,,1000
9208,Mouse,South,Rohit,-20,1500,,200,1000
8339,Laptop,,Amit,4,,2024-01-01,,-100
3205,Headphones,,Amit,3,99999,2024-02-10,15,-100
2069,Mobile,West,,2,500,2024-01-01,15,3000
4444,Laptp,,John,,1500,2024-13-01,0,1000
2060,Headphones,South,John,4,1000,2024-01-01,-5,2000
3327,Mobile,,,3,2000,2024-13-01,0,5000
4420,Mobile,,,3,-200,2024-01-01,10,3000
1301,Keyboard,,,-20,500,,5,1000
1606,,West,Amit,3,2000,,200,3000
4170,Monitor,,Amit,100,-200,,15,3000
1699,Laptop,,Sneha,500,99999,,200,3000
6088,Monitor,,John,500,99999,2024-01-15,0,1000
1190,Laptop,North,Rohit,5,-200,2024-13-01,-5,
1980,Headphones,,,1,,,,1000
3975,,North,,-20,1500,2024-02-10,15,1000
7102,,,,5,,2024-02-10,5,-100
2184,Tablet,,,1,2000,2024-02-10,15,1000
4327,Tablet,North,John,500,99999,2024-02-10,-5,1000
4394,Headphones,,John,-20,500,2024-01-15,5,1000
9319,Monitr,North,Amit,100,2000,2024-01-15,10,3000
2816,Mouse,,,-1,500,2024-00-10,0,3000
6854,,,Amit,2,99999,2024-00-10,-5,1000
7709,Mobile,,John,2,99999,,5,-100
1569,Laptop,,Priya,4,2000,2024-00-10,10,5000
6442,Charger,,Priya,500,,,-5,-100
2895,,,,500,99999,,-5,5000
3733,Monitor,,John,100,2000,2024-00-10,15,
4863,Headphones,,,5,1000,2024-01-01,0,5000
8455,Mobile,,,-1,99999,,200,2000
5014,,,Priya,500,,2024-13-01,200,2000
2686,Laptop,,,3,2000,2024-02-10,5,5000
4009,Laptp,East,,4,2000,2024-01-01,-5,1000
8806,Monitr,North,,2,1500,,200,5000
1154,Monitor,,,500,99999,,-5,2000
2409,Tablet,,John,-1,,2024-01-15,5,5000
1784,Headphones,South,,,1500,2024-02-10,200,3000
9096,,,Amit,5,,2024-13-01,-5,
8560,Tablet,,Amit,-1,500,2024-13-01,0,3000
8343,Laptop,West,Amit,3,,,-5,-100
8206,Tablet,South,Rohit,5,,,200,3000
6596,,South,,2,2000,2024-01-15,15,
6801,,,Amit,5,1000,2024-02-10,15,1000
3806,Monitor,East,,-1,-200,2024-00-10,,
1537,Mouse,North,Amit,-20,,2024-02-10,-5,1000
6986,,East,John,-1,1500,2024-02-10,15,2000
2841,Mobile,North,Priya,500,1000,2024-13-01,0,5000
9716,Mouse,,,3,,2024-01-15,10,2000
7971,Headphones,,Priya,100,1000,2024-02-10,0,2000
6625,Mouse,East,Amit,5,500,2024-01-01,5,2000
3950,Keyboard,West,,-1,1000,2024-01-01,-5,5000
8992,,North,Amit,1,500,,200,1000
5780,Mobile,East,Amit,1,1000,2024-01-15,,
3368,Laptop,,,4,1000,2024-00-10,,1000
7655,Mobile,West,John,5,1500,,200,1000
9173,Keyboard,,John,-20,-200,2024-02-10,200,3000
5495,Charger,South,,3,1500,,10,5000
7002,Mouse,,John,,2000,2024-02-10,200,1000
7614,Mobile,,Priya,3,1000,2024-13-01,-5,1000
6919,Tablet,,,5,500,2024-02-10,5,2000
1853,Laptop,,,1,99999,,200,-100
5146,,,Rohit,3,1000,2024-00-10,15,3000
4769,,South,Priya,-1,99999,2024-02-10,200,
1574,Laptp,,John,3,,2024-02-10,15,-100
2148,Headphones,,,5,500,,15,3000
7293,Headphones,East,Sneha,-1,,2024-13-01,0,2000
7457,,,Rohit,2,2000,2024-01-01,15,2000
8509,Headphones,South,Amit,3,,2024-01-01,5,2000
5777,Mobile,West,,4,2000,,,5000
4854,Mouse,,Priya,5,2000,2024-00-10,0,-100
3491,Mobile,North,,500,2000,2024-01-15,15,2000
4124,,East,Rohit,500,,2024-01-15,5,1000
6691,Monitor,,,4,2000,2024-13-01,10,5000
4051,Tablet,North,,500,2000,,5,2000
1004,,South,,4,1500,,,5000
6222,Laptp,,Sneha,2,99999,2024-02-10,5,1000
6315,Laptp,,Rohit,-20,-200,2024-13-01,200,2000
5869,Tablet,,Priya,1,1000,,5,-100
1876,Keyboard,,John,-1,2000,2024-01-01,200,2000
8027,Monitr,North,Amit,4,500,,200,1000
5142,,North,John,100,500,2024-00-10,0,2000
7966,,,John,100,1500,2024-01-15,,1000
8079,Monitor,North,,100,,,15,2000
8987,Laptop,North,Priya,,,2024-02-10,200,2000
7799,Laptp,,John,500,,,200,3000
5465,Headphones,,,4,2000,2024-01-15,,5000
1635,Mobile,,John,5,-200,2024-01-01,10,
2693,Keyboard,,Priya,4,99999,2024-02-10,-5,3000
5752,,,,5,-200,2024-01-01,200,3000
9311,Monitr,,Priya,2,,2024-01-15,200,5000
1830,Tablet,South,Sneha,5,,2024-01-15,,3000
6177,Charger,South,John,-20,1000,2024-01-01,0,1000
9932,Laptop,,Rohit,100,-200,2024-02-10,15,3000
9308,Monitr,North,,500,2000,2024-01-01,,
6949,,East,Amit,-1,2000,2024-02-10,-5,1000
3838,Headphones,South,,-1,99999,2024-13-01,200,-100
2150,Monitr,South,Amit,,500,2024-13-01,15,5000
8560,Laptp,,Priya,2,500,2024-02-10,200,5000
2931,,,,-20,1000,2024-01-01,0,5000
2664,,,,-20,1500,,200,1000
2081,,East,Priya,500,2000,,200,5000
1512,Mobile,East,,5,99999,2024-02-10,5,5000
8805,Tablet,,,,500,2024-01-15,200,
6237,Monitr,,,1,,,-5,2000
1559,Laptop,South,Sneha,5,2000,2024-01-01,10,-100
4672,Monitr,,John,,2000,,,2000
8404,,,Priya,-20,2000,2024-02-10,15,2000
4343,Charger,West,,2,-200,2024-01-15,,5000
5070,Keyboard,West,Priya,-1,500,2024-00-10,200,1000
1580,Laptp,North,Amit,4,1000,2024-01-15,0,5000
8004,Mobile,South,John,5,500,,5,2000
9130,Headphones,West,Sneha,3,,2024-02-10,0,
4147,Tablet,,,5,,2024-01-01,-5,5000
5249,Tablet,South,,4,1500,2024-01-01,200,5000
2679,,,Priya,-20,500,2024-13-01,200,5000
4506,,South,Priya,,500,,15,1000
8253,Keyboard,West,,2,1500,2024-02-10,,
3744,Mouse,,Priya,3,1500,2024-01-15,200,
6188,Mouse,South,Amit,-20,2000,2024-01-15,15,
3141,Headphones,East,,1,2000,,200,
7617,Monitr,North,Priya,-1,,2024-02-10,-5,2000
3479,,,Priya,500,99999,2024-01-15,-5,5000
7484,Charger,,Amit,2,99999,,200,-100
8421,Tablet,West,Priya,-1,99999,2024-00-10,0,
5452,Monitr,,,3,99999,,,3000
6881,Tablet,,John,5,1000,2024-13-01,15,3000
7665,,North,John,,,2024-01-01,,-100
3849,Tablet,,Amit,100,-200,2024-01-15,10,2000
8390,Monitr,,John,4,500,2024-00-10,0,3000
7905,,East,,2,99999,2024-02-10,0,3000
3489,,East,,3,1000,2024-01-15,10,3000
5611,Keyboard,East,,100,2000,,5,2000
3839,,East,Sneha,-1,1500,2024-02-10,-5,5000
9527,Mouse,West,Priya,,1500,2024-00-10,15,2000
6878,Monitor,,Sneha,5,99999,2024-00-10,200,1000
7303,Laptop,West,John,5,,,5,1000
1851,Keyboard,South,Amit,1,99999,2024-01-01,,3000
2687,,,,,500,2024-02-10,15,3000
7833,Laptp,South,Amit,500,500,2024-13-01,200,5000
3427,Charger,,Sneha,100,1500,2024-01-01,200,-100
5000,Charger,North,,-20,,2024-02-10,15,3000
6052,Laptop,South,John,1,-200,,-5,1000
3738,Charger,North,,,,2024-02-10,15,3000
6732,Monitr,North,Priya,3,2000,,10,5000
6387,Charger,North,,,99999,2024-00-10,200,1000
9002,Monitor,East,John,500,2000,,0,3000
6536,Charger,,,,2000,2024-00-10,10,5000
4913,Tablet,,,100,99999,2024-02-10,10,5000
2066,Keyboard,West,John,,-200,,200,1000
8723,Monitr,North,Amit,,1000,,10,1000
5380,Mouse,East,Rohit,-1,,2024-00-10,5,-100
5107,Charger,South,,-20,,,10,1000
6726,Headphones,South,,4,-200,,0,5000
4373,Headphones,West,,100,99999,,15,1000
9945,Headphones,West,Priya,4,2000,2024-02-10,5,1000
3082,Charger,North,,-1,1500,2024-02-10,200,5000
9967,Laptp,North,,1,2000,,-5,-100
7748,,South,Priya,500,1000,2024-01-01,10,5000
1417,Tablet,South,,-20,-200,2024-01-01,10,1000
9306,Mobile,South,,500,99999,2024-13-01,15,1000
9808,Charger,South,Amit,-1,1500,2024-01-01,15,1000
4974,Laptp,,John,100,,2024-01-15,-5,-100
4267,,North,Amit,2,1000,2024-01-15,5,5000
1825,Mobile,North,John,-20,1000,2024-00-10,-5,
8668,Laptop,South,Rohit,-20,-200,,-5,2000
6745,Monitor,East,,-1,1500,2024-01-15,0,3000
1412,Tablet,South,Rohit,1,2000,2024-01-01,5,2000
8543,Charger,,Sneha,3,2000,,15,-100
8587,Keyboard,,,,500,2024-13-01,0,5000
1728,Monitr,,John,5,1500,2024-02-10,200,
8164,Keyboard,West,Amit,5,2000,2024-13-01,10,-100
9867,,,,500,1000,2024-01-01,-5,5000
6988,Keyboard,East,Amit,,-200,2024-01-01,10,1000
3504,,West,,3,2000,2024-01-01,,-100
3967,Laptop,,Amit,2,-200,2024-00-10,15,3000
3786,Monitr,East,Sneha,500,2000,2024-01-15,,2000
2122,Laptop,West,Priya,-20,-200,2024-01-01,5,5000
5079,Mobile,South,Amit,4,1000,2024-02-10,5,
2571,Laptop,South,,5,1500,2024-01-15,-5,1000
6073,Headphones,East,Rohit,500,500,2024-01-15,0,
6104,Monitor,West,,5,-200,2024-00-10,-5,3000
3143,Headphones,,Amit,-1,2000,2024-13-01,15,
7806,Charger,East,Amit,2,-200,,0,
8357,Mobile,East,Amit,2,-200,2024-01-15,0,1000
4440,,,,4,2000,2024-01-15,200,
4766,Laptp,North,,100,99999,2024-01-01,200,1000
6644,Mobile,East,Priya,2,2000,2024-02-10,5,3000
3914,Laptp,,Amit,-20,1500,2024-01-01,5,5000
5968,Monitor,South,Priya,-1,1000,2024-02-10,-5,1000
6917,Laptop,West,Priya,1,1000,2024-01-15,15,-100
9787,Laptop,North,,500,1000,2024-02-10,5,-100
1728,Monitr,West,,-20,1000,2024-01-01,15,5000
2365,Charger,South,Sneha,,1000,2024-01-01,,2000
5492,Keyboard,East,Rohit,1,99999,2024-13-01,-5,
1698,Mouse,,Amit,-20,1000,2024-00-10,10,5000
8186,Mobile,,Amit,,2000,2024-13-01,-5,
1395,Mobile,North,Amit,5,2000,2024-01-15,,1000
8400,Charger,,Priya,5,1000,2024-02-10,200,
9082,Headphones,,,5,1000,2024-01-01,200,3000
5171,Tablet,,,4,1500,2024-01-01,5,-100
5360,Charger,,John,-1,-200,2024-01-01,10,5000
3502,Mouse,,,500,1500,,10,
1717,Laptop,South,Rohit,4,,2024-01-01,-5,5000
3782,Laptp,,,2,2000,,-5,5000
5946,Headphones,,Amit,2,99999,2024-01-15,0,3000
6486,,,John,2,1000,2024-00-10,10,1000
9335,,South,John,-1,99999,2024-13-01,15,
5980,Headphones,West,,4,-200,,5,2000
8266,,South,John,4,99999,2024-13-01,200,5000
5491,Monitr,,Rohit,1,2000,,5,1000
8192,Monitor,,John,4,99999,2024-01-01,0,2000
6588,Mouse,,,,,2024-01-01,-5,5000
8651,Headphones,,Amit,2,1500,2024-02-10,-5,2000
4636,Mouse,East,,4,,2024-01-01,0,
2167,,South,Amit,-1,500,2024-13-01,5,
2062,Charger,West,Sneha,500,99999,2024-02-10,0,-100
3156,,East,Priya,2,1500,,10,5000
8860,Laptp,East,John,100,2000,2024-02-10,200,5000
6161,Laptp,North,,,1500,2024-01-01,10,-100
6305,,,Priya,100,,,15,
7541,Mobile,East,Priya,2,1000,,-5,1000
5729,Laptop,East,Priya,1,-200,2024-02-10,0,2000
8330,Mobile,,Priya,-1,,2024-00-10,5,5000
6334,Headphones,West,Priya,500,,2024-01-01,-5,5000
9924,Monitor,East,Amit,500,99999,2024-00-10,-5,3000
5330,,,Rohit,2,99999,2024-01-01,,2000
9010,Mobile,West,John,4,1000,,5,-100
7801,Mobile,,John,1,-200,2024-00-10,-5,
5846,Mobile,,Amit,-1,2000,,,-100
7731,Mouse,,,2,-200,2024-01-01,,5000
8241,Charger,,Amit,4,99999,2024-13-01,200,5000
1953,Monitor,North,,2,2000,,15,
3539,,North,,1,1500,,,2000
8056,Laptp,,Priya,-1,,,10,1000
2542,Monitr,,Rohit,,1500,2024-01-01,10,
6293,Mouse,,John,2,1000,2024-13-01,-5,1000
2191,Headphones,,,4,500,2024-01-15,15,5000
7313,Monitor,,Sneha,3,99999,,5,1000
7938,Laptp,South,Amit,3,2000,2024-01-15,5,1000
3681,Monitor,East,Sneha,3,1000,2024-01-01,-5,
2540,Tablet,East,John,4,2000,,-5,-100
7172,Tablet,East,Amit,1,1500,2024-13-01,5,5000
6541,Mobile,West,John,1,500,2024-13-01,5,2000
2365,Mobile,South,Amit,-1,99999,,10,3000
9691,,,,5,-200,,10,1000
9702,Tablet,East,John,3,,2024-02-10,15,5000
8494,,West,,500,-200,2024-02-10,15,3000
5312,,West,Sneha,5,2000,,15,2000
2324,Monitr,North,Rohit,-20,,,5,3000
4141,Laptp,West,,3,99999,2024-00-10,5,2000
8419,Headphones,,,500,1500,2024-02-10,10,-100
4486,,,,1,2000,2024-01-01,10,3000
2810,Laptop,West,Amit,500,-200,2024-02-10,0,2000
7588,Laptop,,Sneha,5,1500,2024-02-10,0,-100
3923,Mouse,,John,,,,-5,1000
6301,Monitr,North,Sneha,2,1500,2024-01-01,5,3000
5186,Monitr,,,100,99999,2024-01-01,-5,2000
